Model,Featurizer,RMSE,MAE,R2,Train_RMSE
SVR,RDKIT,0.6766774928132121,0.5015552397190738,0.7328485403156817,0.34636900889457495
XGBoost,ECFP,0.6844985538417397,0.4982505102543091,0.7266373610898571,0.29517708314982466
XGBoost,RDKIT,0.6874995085452366,0.5033582779518153,0.7242351729043451,0.18719597265280155
Random Forest,RDKIT,0.6902322063253165,0.5251498516935287,0.7220385760959752,0.35704250915784314
Random Forest,ECFP,0.7107972872983894,0.5292563274354478,0.7052284182999728,0.45318410444602286
SVR,MACCS,0.7340674449267393,0.5470751645883462,0.6856119597896055,0.3510396040827936
SVR,ECFP,0.742170181885722,0.5387197357634511,0.6786331381421111,0.20580529763029032
XGBoost,MACCS,0.7459034916213305,0.5659866590547467,0.6753918880312104,0.3103373126402841
Random Forest,MACCS,0.7734829452758869,0.5888478318279777,0.6509436259600423,0.47422202171139605
